,Date,Time,Company Name,Current Feelings,Future Expectations,Need Now,City,Expect_recovery,Change_In_Life
0,15-04-2020,19:45,baseH technologies,i am feeling not good right now to see the condition of the world,hopefully all thing will be better,the world to run,karachi,3 months,No Change
1,15-04-2020,19:45,Amazim,Not good,Don't know,Relief,Delhi,6 months,No Change
2,15-04-2020,19:45,Citibank,I feel rarely that bad,Bad,Freedom,Austin,1 year,No Change
3,15-04-2020,19:45,Noshn Advertising,uncomfortable,wont be the same anymore,Money,Kuwait,1 year,No Change
4,15-04-2020,19:45,self business,anxious.,optimistic,financial security,mississauga,1 month,No Change
5,15-04-2020,19:45,self business,anxious,positive,financial security,mississauga,More than a year,No Change
6,15-04-2020,19:45,citi,okay,yes,no,pak,More than a year,No Change
7,15-04-2020,19:46,Google,not so good,bleak,that I would not be able to surbive,Austin,1 month,No Change
8,15-04-2020,19:46,Self employed but currently laid off,Nervous anxious and sad,Not very optimistic,Money having a job and health of my parents . Also impact in poor countries,Winnipeg,1 year,No Change
9,15-04-2020,19:46,Company,Concerned,Optimistic,People suffering and job related issues,New Jersey,1 year,No Change
10,15-04-2020,19:46,Self employed,Sad,More challenging markets,Economy,Manama,1 month,No Change
11,15-04-2020,19:46,Textile,Uncertain,Optimistic,The economy will be in recession and my business will be impacted,Jaipur,1 month,No Change
12,15-04-2020,19:46,At a consulting firm,Uncertain,"Eventually we will go back to ""normal"" but it will be interesting to see how our behaviors change with regard to work, home time, entertainment, food and drink consumption, time at home vs out or traveling.",The economy will be in recession and my business will be impacted,Chicago,1 month,No Change
13,15-04-2020,19:46,Independent advisor,"uneasy, like I'm living through a historic moment, and uncertain",Optimistic,The health of my family and friends,"Westport, CT",6 months,No Change
14,15-04-2020,19:46,Technology,Dull,Worried,Economy,Bangalore,1 month,No Change
15,15-04-2020,19:46,I don't work,In acceptance,Things will change,Wondering how long it will last,Cairo,1 month,No Change
16,15-04-2020,19:46,Manager of a preschool,Mixed emotions,I think things will get better,My biggest concern is when can I got back to work,Doha,More than a year,No Change
17,15-04-2020,19:46,Intelligenes,Not so good,Will be different than today,"Kids education, community and business situation",Burlington,6 months,No Change
18,15-04-2020,19:46,Innovation,Curious,Lots of opportunities,When it will end,Montreal,1 year,No Change
19,15-04-2020,19:46,intelligenes,sad,gloomy,money,karachi,1 month,No Change
20,15-04-2020,19:46,Private Sector,sad,Not sure at all..hoping for something better then today but not sure if it's going to be possibel,money,Toronto,6 months,No Change
21,15-04-2020,19:46,Accounting,Anxious,Humanity always bounce back,Uncertainty,Houston,More than a year,No Change
22,15-04-2020,19:46,Toronto,Anxious,Bleak economic downturn,Future economy,Toronto,1 month,No Change
23,15-04-2020,19:46,northeastern university,a little scared - it is moving so fast,"things will be different, i'm not sure how and different isn't necessarily bad",but i want to also say that I see a lot of room to use the current situation to drive positive change,reno nevada,1 month,No Change
24,15-04-2020,19:46,Own a business,Sad,Big change,Business,Karachi,More than a year,No Change
25,15-04-2020,19:46,Work from home,Uncertain,Positive,"Personal and family health, plus economic environment",Toronto,More than a year,No Change
26,15-04-2020,19:46,NYC,Sad and anxious,The future will be altered permanently as with 9/11,Economic impact of COVID-19 on my,Mamaroneck NY,1 month,No Change
27,15-04-2020,19:46,Educational institute,Anxious and uncertain at times,I think certain social changes will persist. Our definition of normalcy will be different from what we were used to.,Will life ever be normal again? Financial concerns & fear for well being and safety of my children,karachi,More than a year,No Change
28,15-04-2020,19:46,Retail,Anxious,Positive,Future health and economic stability,Dubai,More than a year,No Change
29,15-04-2020,19:46,Oil and gas sector,Reflective,"It is going to be a new normal, however its not clear what that new normal will look like.",Elderly in family,Doha,More than a year,No Change
30,15-04-2020,19:46,IT,Powerless,"People are going to become more cautious, there will be erosion of trust in institutions and systems, healthcare sector may finally get the much needed push for making it accessible to everyone","Uncertainty, loss of freedom",Bangalore,3 months,No Change
31,15-04-2020,19:46,University,Uncertain,All good and great,Getting a helper to clean the house,Doha,1 year,No Change
32,15-04-2020,19:46,A shipping company,Nervious,There will be ripple effects in economics and GDP but not contained to one country,Job security,Doha,3 months,No Change
33,15-04-2020,19:46,In the oil and gas industry,Calm and grateful,Hopeful,That everyone one has food and healthcare,"Doha, Qatar",3 months,No Change
34,15-04-2020,19:46,Doha,"Moderately fearful for my own family's wellbeing, and very concerned for the elder members. E.g. Grandpsrents.","We will pick-up where we left off, once the COVID situation clears.",The risk of Grandparents/elderly relatives becoming ill,Doha,More than a year,No Change
35,15-04-2020,19:46,Self employed,Sad for those suffering and grateful for the health of my friends and family,Positive in the long term and I believe great lessons learnt just the road there will be tough,How we will cope financially and I worry that my family will become ill,Doha,3 months,No Change
36,15-04-2020,19:46,Education,Meh,Tv shows and surviving,Nothing really just work,Why,6 months,No Change
37,15-04-2020,19:46,Consulting company,Worried,"We should be able to get back to normal in 6 months, the short term future is a concern","Cash flow, short term future",Dubai,6 months,No Change
38,15-04-2020,19:46,Im,A bit uncertain,Less travelling perhaps. More nature loving,When the world will heal if I ever will,doha,3 months,No Change
39,15-04-2020,19:46,headway,ok,not clear,illness,amman,3 months,No Change
40,15-04-2020,19:46,Private company,Sad,Not sure,Is this going to end soon,Doha,3 months,No Change
41,15-04-2020,19:46,Private company,Sad,Not sure,Is this going to end soon,Doha,1 month,No Change
42,15-04-2020,19:46,Private company,Sad,Not sure,Is this going to end soon,Doha,3 months,No Change
43,15-04-2020,19:46,Confidential,It's ok. Still have work and busy,Big economic recession,Mothers health,Doha,More than a year,No Change
